conglome,vivienda,hogar,result,nbi1,nbi2,nbi3,nbi4,nbi5
5462,24,11,1,0,0,0,0,0
5462,33,11,1,0,0,0,0,0
5462,38,11,1,0,0,0,0,0
5462,48,11,1,0,0,0,0,0
5462,57,11,1,0,0,0,0,0
5462,72,11,1,0,0,0,0,0
5468,5,11,1,0,0,0,0,0
5468,6,11,1,0,0,0,0,0
5468,107,11,1,0,0,0,0,0
5468,108,11,1,1,0,0,0,0
5468,112,11,1,0,0,0,0,0
5468,113,11,1,0,0,0,0,0
5469,40,11,1,0,0,0,0,0
5469,41,11,1,0,0,0,0,0
5469,43,11,1,0,0,0,0,0
5469,44,11,1,0,0,0,0,0
5469,224,11,1,0,0,0,0,0
5469,225,11,1,0,0,0,0,0
5469,239,11,1,0,0,0,0,0
5477,20,11,1,0,0,0,0,0
5477,31,11,2,0,0,0,0,0
5477,44,11,1,0,0,0,0,0
5477,57,11,1,0,0,0,0,0
5477,107,11,1,0,0,0,0,0
5480,13,11,1,0,0,0,0,0
5480,29,11,1,0,1,0,0,0
5480,42,11,2,0,0,0,0,0
5480,69,11,1,0,0,0,0,0
5480,85,11,1,0,0,0,0,0
5480,98,11,1,0,0,0,0,0
5487,33,11,1,0,0,0,0,0
5487,98,11,1,0,0,0,0,0
5487,145,11,1,0,0,0,0,0
5488,25,11,1,0,0,0,0,0
5488,36,11,1,0,0,0,0,0
5488,45,11,1,0,0,0,0,0
5488,56,11,2,0,0,0,0,0
5488,67,11,2,0,0,0,0,0
5511,4,11,1,0,0,0,0,0
5511,29,11,1,0,0,0,0,0
5511,43,11,1,0,0,0,0,0
5511,93,11,1,0,0,0,0,0
5511,124,11,1,0,0,0,0,0
5515,12,11,2,0,0,0,0,0
5515,30,11,1,0,0,0,0,0
5515,44,11,1,0,0,0,0,0
5515,95,11,1,0,0,0,0,0
5515,143,11,1,0,0,0,0,0
5515,161,11,1,0,0,0,0,0
5518,1,11,1,0,0,0,0,0
5518,24,11,1,0,0,0,0,0
5518,40,11,1,0,0,0,0,0
5518,58,11,1,0,0,0,0,0
5518,74,11,1,0,0,0,0,0
5518,89,11,2,0,0,0,0,0
5522,9,11,1,0,0,0,0,0
5522,34,11,2,0,0,0,0,0
5522,47,11,1,0,0,0,0,0
5522,72,11,1,0,0,0,0,0
5522,85,11,1,0,0,0,0,0
5524,1,11,1,0,0,0,0,0
5524,14,11,1,0,0,0,0,0
5524,29,11,2,0,0,0,0,0
5524,43,11,1,0,0,0,0,0
5524,60,11,1,0,0,0,0,0
5524,73,11,2,0,0,0,0,0
5525,4,11,2,0,0,0,0,0
5525,34,11,1,0,0,0,0,0
5525,49,11,1,0,0,0,0,0
5525,79,11,1,0,0,0,0,0
5525,95,11,2,0,0,0,0,0
5525,111,11,2,0,0,0,0,0
5527,18,11,2,0,0,0,0,0
5527,35,11,2,0,0,0,0,0
5527,77,11,1,0,0,0,0,0
5527,114,11,1,0,0,0,0,0
5527,171,11,1,0,0,0,0,0
5539,11,11,1,0,0,0,0,0
5539,52,11,1,0,0,0,0,0
5539,65,11,1,0,0,0,0,0
5539,78,11,1,0,0,0,0,0
5539,117,11,1,0,0,0,0,0
5539,130,11,1,0,0,0,0,0
5559,48,11,2,0,0,0,0,0
5559,78,11,2,0,0,0,0,0
5559,140,11,1,0,0,0,0,0
5559,171,11,2,0,0,0,0,0
5559,202,11,1,0,0,0,0,0
5559,232,11,2,0,0,0,0,0
5561,26,11,2,0,0,0,0,0
5561,52,11,2,0,0,0,0,0
5561,64,11,1,0,0,0,0,0
5561,110,11,2,0,0,0,0,0
5567,5,11,2,0,0,0,0,0
5567,63,11,2,0,0,0,0,0
5567,83,11,2,0,0,0,0,0
5567,123,11,2,0,0,0,0,0
5567,162,11,2,0,0,0,0,0
5569,20,11,1,0,0,0,0,0
5569,32,11,1,0,0,0,0,0
5569,44,11,2,0,0,0,0,0
5569,70,11,2,0,0,0,0,0
5569,83,11,1,0,0,0,0,0
5569,119,11,2,0,0,0,0,0
5570,10,11,2,0,0,0,0,0
5570,60,11,2,0,0,0,0,0
5570,89,11,2,0,0,0,0,0
5570,109,11,1,0,0,0,0,0
5570,140,11,1,0,0,0,0,0
5571,5,11,1,0,0,0,0,0
5571,36,11,2,0,0,0,0,0
5571,51,11,1,0,0,0,0,0
5571,79,11,1,0,0,0,0,0
5571,95,11,1,0,0,0,0,0
5571,123,11,2,0,0,0,0,0
5575,3,12,1,0,0,0,0,0
5575,3,22,2,0,0,0,0,0
5575,34,11,1,0,0,0,0,0
5575,79,11,1,0,0,0,0,0
5575,123,11,1,0,0,0,0,0
5580,12,11,1,0,0,0,0,0
5580,55,11,1,0,0,0,0,0
5580,62,11,1,0,0,0,0,0
5580,86,11,1,0,0,0,0,0
5583,5,11,1,0,0,0,0,0
5583,35,11,1,0,0,0,0,0
5583,51,11,1,0,0,0,0,0
5583,79,11,1,0,0,0,0,0
5583,94,11,2,0,0,0,0,0
5583,122,11,1,0,0,0,0,0
5589,7,11,1,0,0,0,0,0
5589,20,11,1,0,0,0,0,0
5589,33,11,1,0,0,0,0,0
5589,61,11,2,0,0,0,0,0
5589,76,11,2,0,0,0,0,0
5590,13,11,1,0,0,0,0,0
5590,43,11,1,0,0,0,0,0
5590,57,11,1,0,0,0,0,0
5590,88,11,2,0,0,0,0,0
5590,103,11,1,0,0,0,0,0
5591,6,11,1,0,0,0,0,0
5591,18,11,1,0,0,0,0,0
5591,29,11,1,0,0,0,0,0
5591,65,11,1,0,0,0,0,0
5591,100,11,1,0,0,0,0,0
5614,5,11,2,0,0,0,0,0
5614,41,11,1,0,0,0,0,0
5614,60,11,1,0,0,0,0,0
5614,95,11,1,0,0,0,0,0
5614,114,11,1,0,0,0,0,0
5614,149,11,1,0,0,0,0,0
5615,30,11,2,0,0,0,0,0
5615,46,11,1,0,0,0,0,0
5615,75,11,2,0,0,0,0,0
5615,91,11,1,0,0,0,0,0
5615,107,11,1,0,0,0,1,0
5629,46,11,1,0,0,0,0,0
5629,92,11,2,0,0,0,0,0
5629,108,11,1,0,0,0,0,0
5629,120,11,2,0,0,0,0,0
5639,1,11,1,0,0,0,0,0
